"","Bubblesort-1000000"
"10","0.000003"
"20","0.000005"
"30","0.000009"
"40","0.000005"
"50","0.000005"
"60","0.000007"
"70","0.000009"
"80","0.000011"
"90","0.000014"
"100","0.000017"
"250","0.000089"
"500","0.000240"
"750","0.000379"
"1000","0.000568"
"2500","0.002525"
"5000","0.010803"
"7500","0.034607"
"10000","0.075017"
"25000","0.606052"
"50000","2.578704"
