"","Insertionsort-1000000"
"10","0.000000"
"20","0.000000"
"30","0.000000"
"40","0.000001"
"50","0.000001"
"60","0.000001"
"70","0.000001"
"80","0.000001"
"90","0.000001"
"100","0.000001"
"250","0.000005"
"500","0.000013"
"750","0.000026"
"1000","0.000044"
"2500","0.000236"
"5000","0.000879"
"7500","0.001935"
"10000","0.003564"
"25000","0.023343"
"50000","0.097774"
"75000","0.215433"
"100000","0.384785"
"250000","2.418919"
