"","Countsort-1000000"
"10","0.000828"
"20","0.001086"
"30","0.001119"
"40","0.001196"
"50","0.001503"
"60","0.001484"
"70","0.001581"
"80","0.001525"
"90","0.001193"
"100","0.000997"
"250","0.000974"
"500","0.001144"
"750","0.001154"
"1000","0.000964"
"2500","0.000994"
"5000","0.001011"
"7500","0.001044"
"10000","0.001031"
"25000","0.001181"
"50000","0.001382"
"75000","0.001611"
"100000","0.001836"
"250000","0.003097"
"500000","0.005444"
"750000","0.007212"
"1000000","0.008915"
"2500000","0.016456"
"5000000","0.028588"
"7500000","0.039438"
"10000000","0.050754"
"25000000","0.111637"
"50000000","0.223386"
"75000000","0.332592"
"100000000","0.444574"
"250000000","1.077636"
"500000000","2.254912"
