"","Radixsort-1000000"
"10","0.000001"
"20","0.000001"
"30","0.000001"
"40","0.000002"
"50","0.000002"
"60","0.000002"
"70","0.000002"
"80","0.000003"
"90","0.000003"
"100","0.000003"
"250","0.000007"
"500","0.000014"
"750","0.000020"
"1000","0.000028"
"2500","0.000069"
"5000","0.000136"
"7500","0.000205"
"10000","0.000275"
"25000","0.000687"
"50000","0.001421"
"75000","0.002067"
"100000","0.002698"
"250000","0.006732"
"500000","0.013866"
"750000","0.020719"
"1000000","0.027747"
"2500000","0.072367"
"5000000","0.149769"
"7500000","0.221049"
"10000000","0.298173"
"25000000","0.754140"
"50000000","1.479511"
