"","Insertionsort-100"
"10","0.000000"
"20","0.000000"
"30","0.000000"
"40","0.000001"
"50","0.000001"
"60","0.000001"
"70","0.000001"
"80","0.000001"
"90","0.000001"
"100","0.000001"
"250","0.000004"
"500","0.000013"
"750","0.000025"
"1000","0.000040"
"2500","0.000222"
"5000","0.000854"
"7500","0.001885"
"10000","0.003315"
"25000","0.022461"
"50000","0.093115"
"75000","0.210207"
"100000","0.393701"
"250000","2.398805"
