"","Mergesort-100"
"10","0.000000"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000002"
"60","0.000002"
"70","0.000002"
"80","0.000002"
"90","0.000003"
"100","0.000003"
"250","0.000008"
"500","0.000018"
"750","0.000030"
"1000","0.000040"
"2500","0.000105"
"5000","0.000214"
"7500","0.000325"
"10000","0.000418"
"25000","0.001096"
"50000","0.002210"
"75000","0.003405"
"100000","0.004558"
"250000","0.011811"
"500000","0.024113"
"750000","0.037078"
"1000000","0.049746"
"2500000","0.127730"
"5000000","0.267886"
"7500000","0.394551"
"10000000","0.537212"
"25000000","1.381919"
"50000000","2.833543"
