"","Heapsort-100"
"10","0.000000"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000002"
"60","0.000002"
"70","0.000003"
"80","0.000003"
"90","0.000003"
"100","0.000008"
"250","0.000010"
"500","0.000023"
"750","0.000037"
"1000","0.000053"
"2500","0.000153"
"5000","0.000311"
"7500","0.000500"
"10000","0.000639"
"25000","0.001683"
"50000","0.003476"
"75000","0.005186"
"100000","0.008991"
"250000","0.025951"
"500000","0.056030"
"750000","0.075789"
"1000000","0.075065"
"2500000","0.181579"
"5000000","0.388421"
"7500000","0.609986"
"10000000","0.828332"
