"","Quicksort-100"
"10","0.000000"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000002"
"60","0.000002"
"70","0.000002"
"80","0.000003"
"90","0.000003"
"100","0.000003"
"250","0.000009"
"500","0.000020"
"750","0.000028"
"1000","0.000037"
"2500","0.000089"
"5000","0.000172"
"7500","0.000250"
"10000","0.000336"
"25000","0.000810"
"50000","0.001642"
"75000","0.002488"
"100000","0.003267"
"250000","0.008462"
"500000","0.017331"
"750000","0.025487"
"1000000","0.034415"
"2500000","0.087357"
"5000000","0.176315"
"7500000","0.269736"
"10000000","0.360524"
"25000000","0.937513"
