Column1,Bubblesort-100,Countsort-100,Heapsort-100,Insertionsort-100,Mergesort-100,Quicksort-100,Radixsort-100,Selectionsort-100,Shellsort-100,Bubblesort-1000000,Countsort-1000000,Heapsort-1000000,Insertionsort-1000000,Mergesort-1000000,Quicksort-1000000,Radixsort-1000000,Selectionsort-1000000,Shellsort-1000000,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
500000,,0.00115,0.05603,,0.024113,0.017331,0.004884,,0.030389,,0.005444,0.04885,,0.037577,0.037379,0.013866,,0.055598,,0.211241734,1.146980553,,0.641695718,0.463656064,0.352228473,,0.54658441
750000,,0.001743,0.075789,,0.037078,0.025487,0.007699,,0.044332,,0.007212,0.075989,,0.058945,0.057799,0.020719,,0.088439,,0.241680532,0.99736804,,0.629027059,0.440959186,0.371591293,,0.501272063
1000000,,0.002247,0.075065,,0.049746,0.034415,0.010297,,0.061873,,0.008915,0.111648,,0.080493,0.078131,0.027747,,0.124053,,0.252047112,0.672336271,,0.618016473,0.440478171,0.371103182,,0.498762626
2500000,,0.005942,0.181579,,0.12773,0.087357,0.025972,,0.156467,,0.016456,0.301868,,0.214656,0.202873,0.072367,,0.352171,,0.361084103,0.601517882,,0.595045095,0.430599439,0.358892866,,0.444292687
5000000,,0.011915,0.388421,,0.267886,0.176315,0.054477,,0.330073,,0.028588,0.729975,,0.447161,0.405748,0.149769,,0.75533,,0.416783266,0.532101784,,0.599081762,0.434543115,0.36374016,,0.436991778
7500000,,0.017772,0.609986,,0.394551,0.269736,0.083712,,0.508123,,0.039438,1.337397,,0.672237,0.600533,0.221049,,1.199505,,0.450631371,0.456099423,,0.586922469,0.449160995,0.378703364,,0.423610573
10000000,,0.023807,0.828332,,0.537212,0.360524,0.113347,,0.707192,,0.050754,2.089768,,0.911315,0.811017,0.298173,,1.650004,,0.469066478,0.3963751,,0.58949101,0.444533222,0.380138376,,0.428600173
25000000,,0.059375,,,1.381919,0.937513,0.279948,,1.834338,,0.111637,,,2.389816,2.004743,0.75414,,4.610056,,0.531857717,,,0.578253305,0.467647474,0.371214894,,0.397899288
50000000,,0.118872,,,2.833543,,0.548069,,,,0.223386,,,4.872011,,1.479511,,,,0.532137197,,,0.581596183,,0.370439287,,
75000000,,0.181672,,,,,,,,,0.332592,,,,,,,,,0.546230817,,,,,,,
100000000,,0.245834,,,,,,,,,0.444574,,,,,,,,,0.552965311,,,,,,,
250000000,,0.599401,,,,,,,,,1.077636,,,,,,,,,0.556218426,,,,,,,
500000000,,1.199581,,,,,,,,,2.254912,,,,,,,,,0.531985727,,,,,,,
