Column1,Bubblesort-100,Countsort-100,Heapsort-100,Insertionsort-100,Mergesort-100,Quicksort-100,Radixsort-100,Selectionsort-100,Shellsort-100
10,0.000003,0,0,0,0,0,0,0,0
20,0.000009,0,0.000001,0,0.000001,0.000001,0,0.000001,0.000001
30,0.000008,0,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000001
40,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
50,0.000005,0.000001,0.000002,0.000001,0.000002,0.000002,0.000001,0.000002,0.000001
60,0.000007,0.000001,0.000002,0.000001,0.000002,0.000002,0.000001,0.000002,0.000002
70,0.000009,0.000001,0.000003,0.000001,0.000002,0.000002,0.000001,0.000003,0.000002
80,0.000011,0.000001,0.000003,0.000001,0.000002,0.000003,0.000001,0.000003,0.000002
90,0.000015,0.000001,0.000003,0.000001,0.000003,0.000003,0.000001,0.000004,0.000003
100,0.000017,0.000001,0.000008,0.000001,0.000003,0.000003,0.000001,0.000005,0.000003
250,0.000084,0.000001,0.00001,0.000004,0.000008,0.000009,0.000003,0.000017,0.000009
500,0.000226,0.000002,0.000023,0.000013,0.000018,0.00002,0.000005,0.000058,0.000018
750,0.000352,0.000002,0.000037,0.000025,0.00003,0.000028,0.000007,0.000108,0.000027
1000,0.000522,0.000003,0.000053,0.00004,0.00004,0.000037,0.00001,0.000175,0.000037
2500,0.0024,0.000005,0.000153,0.000222,0.000105,0.000089,0.000029,0.000995,0.000105
5000,0.010605,0.00001,0.000311,0.000854,0.000214,0.000172,0.000048,0.003912,0.000226
7500,0.033068,0.000015,0.0005,0.001885,0.000325,0.00025,0.000069,0.00848,0.00035
10000,0.072049,0.000021,0.000639,0.003315,0.000418,0.000336,0.000092,0.015012,0.000483
25000,0.583322,0.000053,0.001683,0.022461,0.001096,0.00081,0.000246,0.095739,0.001276
50000,2.512223,0.000104,0.003476,0.093115,0.00221,0.001642,0.000497,0.37383,0.002611
75000,,0.000157,0.005186,0.210207,0.003405,0.002488,0.000745,0.843985,0.003973
100000,,0.000207,0.008991,0.393701,0.004558,0.003267,0.000962,1.487122,0.005452
250000,,0.000528,0.025951,2.398805,0.011811,0.008462,0.002574,,0.014407
500000,,0.00115,0.05603,,0.024113,0.017331,0.004884,,0.030389
750000,,0.001743,0.075789,,0.037078,0.025487,0.007699,,0.044332
1000000,,0.002247,0.075065,,0.049746,0.034415,0.010297,,0.061873
2500000,,0.005942,0.181579,,0.12773,0.087357,0.025972,,0.156467
5000000,,0.011915,0.388421,,0.267886,0.176315,0.054477,,0.330073
7500000,,0.017772,0.609986,,0.394551,0.269736,0.083712,,0.508123
10000000,,0.023807,0.828332,,0.537212,0.360524,0.113347,,0.707192
25000000,,0.059375,,,1.381919,0.937513,0.279948,,1.834338
50000000,,0.118872,,,2.833543,,0.548069,,
75000000,,0.181672,,,,,,,
100000000,,0.245834,,,,,,,
250000000,,0.599401,,,,,,,
500000000,,1.199581,,,,,,,
