"","Radixsort-1000000"
"10","0.000004"
"20","0.000003"
"30","0.000005"
"40","0.000006"
"50","0.000007"
"60","0.000007"
"70","0.000043"
"80","0.000031"
"90","0.000028"
"100","0.000043"
"250","0.000062"
"500","0.000095"
"750","0.000071"
"1000","0.000134"
"2500","0.000232"
"5000","0.000472"
"7500","0.000712"
"10000","0.000946"
"25000","0.002829"
"50000","0.005086"
"75000","0.007390"
"100000","0.009983"
"250000","0.025368"
"500000","0.050776"
"750000","0.075359"
"1000000","0.100596"
"2500000","0.253095"
"5000000","0.504242"
"7500000","0.753698"
"10000000","1.007534"
"25000000","2.517644"
"50000000","5.022680"
