"","Mergesort-100"
"10","0.000002"
"20","0.000002"
"30","0.000003"
"40","0.000003"
"50","0.000003"
"60","0.000005"
"70","0.000012"
"80","0.000005"
"90","0.000006"
"100","0.000008"
"250","0.000017"
"500","0.000030"
"750","0.000044"
"1000","0.000075"
"2500","0.000178"
"5000","0.000329"
"7500","0.000515"
"10000","0.000713"
"25000","0.002051"
"50000","0.004118"
"75000","0.006390"
"100000","0.008264"
"250000","0.021365"
"500000","0.039083"
"750000","0.064650"
"1000000","0.085430"
"2500000","0.199003"
"5000000","0.405051"
"7500000","0.609136"
"10000000","0.824105"
"25000000","2.362603"
"50000000","5.283541"
