"","Quicksort-1000000"
"10","0.000002"
"20","0.000001"
"30","0.000002"
"40","0.000002"
"50","0.000003"
"60","0.000004"
"70","0.000005"
"80","0.000006"
"90","0.000005"
"100","0.000007"
"250","0.000013"
"500","0.000027"
"750","0.000053"
"1000","0.000066"
"2500","0.000151"
"5000","0.000306"
"7500","0.000528"
"10000","0.000650"
"25000","0.001983"
"50000","0.004404"
"75000","0.006067"
"100000","0.008512"
"250000","0.022477"
"500000","0.046861"
"750000","0.071951"
"1000000","0.096150"
"2500000","0.253101"
"5000000","0.511809"
"7500000","0.769585"
"10000000","1.028865"
"25000000","2.562953"
