"","Insertionsort-100"
"10","0.000001"
"20","0.000001"
"30","0.000001"
"40","0.000002"
"50","0.000002"
"60","0.000002"
"70","0.000002"
"80","0.000003"
"90","0.000004"
"100","0.000002"
"250","0.000007"
"500","0.000023"
"750","0.000069"
"1000","0.000080"
"2500","0.000489"
"5000","0.002243"
"7500","0.004827"
"10000","0.008375"
"25000","0.052910"
"50000","0.196574"
"75000","0.442837"
"100000","0.787916"
"250000","4.936465"
