"","Insertionsort-1000"
"10","0.000001"
"20","0.000001"
"30","0.000001"
"40","0.000001"
"50","0.000002"
"60","0.000003"
"70","0.000002"
"80","0.000002"
"90","0.000003"
"100","0.000002"
"250","0.000007"
"500","0.000023"
"750","0.000052"
"1000","0.000214"
"2500","0.000485"
"5000","0.002421"
"7500","0.004825"
"10000","0.008008"
"25000","0.049807"
"50000","0.197562"
"75000","0.438504"
"100000","0.772269"
"250000","4.795574"
