"","Bubblesort-1000000"
"10","0.000008"
"20","0.000013"
"30","0.000020"
"40","0.000030"
"50","0.000018"
"60","0.000037"
"70","0.000043"
"80","0.000043"
"90","0.000030"
"100","0.000021"
"250","0.000079"
"500","0.000217"
"750","0.000480"
"1000","0.000740"
"2500","0.003870"
"5000","0.014394"
"7500","0.034990"
"10000","0.083374"
"25000","0.748658"
"50000","3.190472"
