"","Heapsort-1000000"
"10","0.000002"
"20","0.000002"
"30","0.000002"
"40","0.000003"
"50","0.000003"
"60","0.000004"
"70","0.000004"
"80","0.000005"
"90","0.000010"
"100","0.000005"
"250","0.000013"
"500","0.000030"
"750","0.000068"
"1000","0.000081"
"2500","0.000179"
"5000","0.000415"
"7500","0.000643"
"10000","0.000881"
"25000","0.002426"
"50000","0.005129"
"75000","0.008294"
"100000","0.011078"
"250000","0.030779"
"500000","0.067071"
"750000","0.113590"
"1000000","0.152435"
"2500000","0.516247"
"5000000","1.263389"
"7500000","2.038354"
