"","Bubblesort-100"
"10","0.000001"
"20","0.000001"
"30","0.000004"
"40","0.000004"
"50","0.000017"
"60","0.000010"
"70","0.000009"
"80","0.000010"
"90","0.000011"
"100","0.000013"
"250","0.000063"
"500","0.000237"
"750","0.000439"
"1000","0.000729"
"2500","0.004096"
"5000","0.014366"
"7500","0.034916"
"10000","0.080802"
"25000","0.758225"
"50000","3.319775"
