"","Countsort-100"
"10","0.000003"
"20","0.000002"
"30","0.000002"
"40","0.000004"
"50","0.000004"
"60","0.000001"
"70","0.000002"
"80","0.000003"
"90","0.000002"
"100","0.000002"
"250","0.000002"
"500","0.000002"
"750","0.000002"
"1000","0.000003"
"2500","0.000005"
"5000","0.000016"
"7500","0.000012"
"10000","0.000017"
"25000","0.000038"
"50000","0.000122"
"75000","0.000180"
"100000","0.000406"
"250000","0.000890"
"500000","0.001178"
"750000","0.002208"
"1000000","0.002454"
"2500000","0.005414"
"5000000","0.014925"
"7500000","0.022813"
"10000000","0.023482"
"25000000","0.063238"
"50000000","0.108979"
"75000000","0.168914"
"100000000","0.210355"
"250000000","0.525923"
"500000000","1.302812"
